"8930","237","225",\N,\N,\N,\N
"8931","238",\N,\N,"67",\N,\N
"8932","239",\N,\N,"66",\N,\N
"8933","244","387",\N,\N,\N,\N
"8934","245","387",\N,\N,\N,\N
"8935","246","83",\N,\N,\N,\N
"8936","247","389",\N,\N,\N,\N
"8937","248","91","10",\N,\N,\N
"8938","251","251",\N,\N,\N,\N
"8939","256","606",\N,\N,\N,\N
"8940","258","83",\N,\N,\N,\N
"8941","259","328",\N,\N,\N,\N
"8942","260","320",\N,\N,\N,\N
"8943","261","251","22","72",\N,\N
"8944","262","240",\N,\N,\N,\N
"8945","263","267",\N,\N,\N,\N
"8946","264","267",\N,\N,\N,\N
"8947","265","267",\N,\N,\N,\N
"8948","266","240",\N,\N,\N,\N
"8949","267","267","22","72",\N,\N
"8950","268","267",\N,\N,\N,\N
"8951","269","267",\N,\N,\N,\N
"8952","270","124","13",\N,\N,\N
"8953","271","124","20",\N,\N,\N
"8954","272","124","13",\N,\N,\N
"8955","273","124","24",\N,\N,\N
"8956","274","124","13",\N,\N,\N
"8957","275","124","24",\N,\N,\N
"8958","276","280",\N,\N,\N,\N
"8959","281","164",\N,\N,\N,\N
"8960","282","164",\N,\N,\N,\N
"8961","283","164",\N,\N,\N,\N
"8962","285","164",\N,\N,\N,\N
"8963","286","286",\N,\N,\N,\N
"8964","288","286",\N,\N,\N,\N
"8965","289","286",\N,\N,\N,\N
"8966","291","164",\N,\N,\N,\N
"8967","293","286",\N,\N,\N,\N
"8968","294","286",\N,\N,\N,\N
"8969","295","286",\N,\N,\N,\N
"8970","298","395",\N,\N,\N,\N
"8971","299","94",\N,\N,\N,\N
"8972","300","94",\N,\N,\N,\N
"8973","301","94",\N,\N,\N,\N
"8974","302","94",\N,\N,\N,\N
"8975","303","94",\N,\N,\N,\N
"8976","305","98",\N,\N,\N,\N
"8977","306","104","4",\N,\N,\N
"8978","307","104","4",\N,\N,\N
"8979","308","94",\N,\N,\N,\N
"8980","309","116",\N,\N,\N,\N
"8981","310","116","4",\N,\N,\N
"8982","311","94","4",\N,\N,\N
"8983","313","104","12",\N,\N,\N
"8984","314","104","4",\N,\N,\N
"8985","315","104",\N,\N,\N,\N
"8986","316","104","12",\N,\N,\N
"8987","317","98","4",\N,\N,\N
"8988","318","104","13",\N,\N,\N
"8989","319","104","608",\N,\N,\N
"8990","320","104","4",\N,\N,\N
"8991","321","104","13",\N,\N,\N
"8992","322","164",\N,\N,\N,\N
"8993","323","180",\N,\N,\N,\N
"8994","324","104","608",\N,\N,\N
"8995","325","104","608",\N,\N,\N
"8996","326","104","608",\N,\N,\N
"8997","327","104","4",\N,\N,\N
"8998","328","164",\N,\N,\N,\N
