"43","ACOTASP-03","BMC OTA KIT (ACOTASP-03) VW GOLF GTI MKVI","369.97","739.94","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/golf_gti_small.JPG","Y","no comments"
"44","ACOTASP-04","BMC OTA KIT (ACOTASP-04) SUBARU WRX STI MY09-ON","423.64","847.28","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/subaru_sti.jpg","Y","no comments"
"45","ACOTASP-05","BMC OTA KIT (ACOTASP-05) MITSUBISHI LANCER EVO X","423.64","847.28","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/evo_x Ota.jpg","Y","no comments"
"46","ACOTASP-06","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/Images/Product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/focus_rs_small.JPG","Y","no comments"
"47","ACOTASP-07","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/Scirocco Ota_small.JPG","Y","no comments"
"48","ACOTASP-08","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/Polo Ota_2.JPG","Y","no comments"
"49","ACOTASP-09","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/BMC_OTA_Carbonio.JPG","/cgi-bin/images/product/Mini 175 Ota.jpg","Y","no comments"
"50","ACOTASP-11WP","BMC OTA Intake System","480","960","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp11wp_3_small.jpg","Y","no comments"
"51","ACOTASP-12","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/acotasp12_bmw_320d_small.JPG","Y","no comments"
"52","ACOTASP-13","BMC OTA Intake System","420","840","OTA - OVAL TRUMPET AIRBOX",\N,"","","","","","","/cgi-bin/images/product/ota_piccolo.JPG","/cgi-bin/images/product/otasp13_small.JPG","Y","no comments"
