"86","MITSUBISHI","Galant/95eclipse","D31A/D33A","98-04.","B-01","V","","","","V","V","","V","V","V","","","","V","V"
"87","MITSUBISHI","Lancer / Virage","CJ4A","96-00","B-02","V","","","","V","V","","","V","V","","V","","V","V"
"88","MITSUBISHI","Lancer / Virage","CS6A/CS7A","01~06","B-03","V","","","","","V","","","V","","","V","","V",""
"89","MITSUBISHI","3000 GT","Z15A","00-","B-04","","","","","V","V","V","","V","V","","V","","",""
"90","MITSUBISHI","SAVRIN","","98+","B-05","","","","V","","","","","","","","","","",""
"91","MITSUBISHI","Waja/FTO","DE3A","94+","B-07","V","","","","V","V","","","V","V","","V","","",""
"92","MITSUBISHI","Evo VII/ VIII/IX","CT9A","01~06","B-08","V","","","","V","V","","","V","V","","V","","","V"
"93","MITSUBISHI","GRUNDER","","03-","B-09","","","","","","V","V","","V","","","V","","",""
"94","MITSUBISHI","Eclipse","D53A/D52","00-05","B-10","","","","","V","V","V","","V","V","","V","","",""
"95","MITSUBISHI","EVO IV/V/ VI","CP9A/CN9A","96~01","B-11","V","","","","V","V","","","V","V","","V","","","V"
"96","MITSUBISHI","Eclipse AWD","D27A","89-94","B-12","","","","","V","V","","","V","V","","V","","",""
"97","MITSUBISHI","3000 GT AWD","Z16A","91-99","B-13","","","","","V","V","V","","V","V","","V","","",""
"98","MITSUBISHI","3000 GT FWD","Z11A","91-99","B-14","","","","","V","V","V","","V","V","","V","","",""
"99","MITSUBISHI","Eclipse","DK4A","06+","B-15","","","","","","V","V","","V","","","V","","",""
"100","MITSUBISHI","Eclipse FWD","D22A","89-94","B-16","","","","","V","V","","","V","V","","V","","",""
"101","MITSUBISHI","EVO I/II/III","CE9A/CD9A","94-95","B-17","","","","","V","V","V","","V","V","","V","","","V"
"102","MITSUBISHI","COLT PLUS","LTGF","07+","B-18","","","","","","V","V","","V","","","","","V",""
"103","MITSUBISHI","LANCER","CY4A","07+","B-19","","","","","","V","V","","V","","","V","","V","V"
"104","MITSUBISHI","EVO X","CZ4A","07+","B-20","","","","","V","V","V","","V","V","","V","","","V"
"105","MITSUBISHI","Galant VR4","E39A","86~92","B-21","","","","","V","V","","","V","V","","V","","",""
"106","MITSUBISHI","TRITON AWD","","05+","B-22","","","","V","","","","","","","","","","",""
"107","MITSUBISHI","GRANDIS","NA4W","03+","B-24","","","","V","","","","","","","","","","",""
"108","MITSUBISHI","OUTLANDER","CU4W/CU2W","01-05","B-25","V","","","","","","","","V","","","","","",""
"109","MITSUBISHI","GTO","Z16A","90-99","B-26","","","","V","V","V","","V","V","","","","","",""
"110","MITSUBISHI","OUTLANDER","CW6W","05+","B-27","","","","","V","V","","V","","","","","","",""
"111","MITSUBISHI","DELICA D5","CV5W","07+","B-30","","","","","","V","","","","","","","","",""
"112","MITSUBISHI","MIRAGE","A05A","12+","B-32","","","","","","","V","","","","","","","",""
"113","MITSUBISHI","DIAMANTE","F34A","95-05","B-33","V","","","","","","","","","","","","","",""
"114","MITSUBISHI","eK Custom 2WD/4WD","B21W/B11W","13+","B-34","","","","","","","V","","","","","","","",""
"115","TOYOTA","Tercel/Starlet","EP82/EP91","90-99","C-01","V","","","","","V","","","V","","","V","","V",""
"116","TOYOTA","Corolla/Altis","ZZE130/NZE121","01~07","C-02","","","","","V","V","V","","V","V","","V","","V",""
"117","TOYOTA","MATRIX","ZZE132/133","03+","C-02","V","","","","V","V","","","V","V","","V","","V",""
"118","TOYOTA","Corolla","AE101/AE111","93-97","C-03","V","","","","","V","","","V","","","","","V",""
"119","TOYOTA","Exsior","ST191/AT190","94-97","C-04","V","","","","V","V","","","V","V","","","V","V",""
"120","TOYOTA","Premio","ST210","98-00","C-04","V","","","","V","V","","","V","V","","","V","V",""
"121","TOYOTA","Camry","SXV20/MCV20","94-","C-06","","","","","V","V","V","","","","","","","",""
"122","TOYOTA","CHASER","JZX100","96~01","C-07","V","","","","V","V","","V","V","V","","","","","V"
"123","TOYOTA","VIOS/ECHO","NCP10/12","03-","C-08","","","","V","","V","V","","V","","","V","","V",""
"124","TOYOTA","Camry","ACV30/MCV30","03-","C-10","","","V","V","V","V","","","V","V","","","V","V",""
"125","TOYOTA","WISH(WISH-Z)","ZNE10G","04-","C-11","","","","","","V","V","","V","","","V","","",""
"126","TOYOTA","MR2","SW20/21","90-99","C-12","","","","","V","V","","","V","V","","","V","",""
"127","TOYOTA","SUPRA","MA70","86-92","C-13","V","","","","V","V","","V","V","V","","","","",""
"128","TOYOTA","Corolla","AE86","83-87","C-14","","","","","","V","","","V","","","","","","V"
"129","TOYOTA","SUPRA","JZA80/JZZ30","93-98","C-15","V","","","","V","V","","V","V","V","","","","","V"
"130","TOYOTA","YARIS","NCP91","06+","C-16","","","","V","","","","","","","V","","","V","V"
"131","TOYOTA","CAMRY","ACV40","06+","C-17","","","V","V","V","V","","","V","V","","","V","V",""
"132","TOYOTA","MR2 SPYDER","ZZW30","00+","C-18","","","","","V","V","V","","V","V","","","V","",""
"133","TOYOTA","CELICA","ZZT231/230","00+","C-19","","","","","V","V","V","","V","V","","V","","","V"
"134","TOYOTA","PREVIA/ALPHARD","ANH10W","02~08","C-20","","","","","","","V","","","","","","","",""
"135","TOYOTA","CELICA-AWD","ST185","90-93","C-21","","","","","V","V","V","","V","V","","","V","",""
"136","TOYOTA","CELICA","AT200/ST202","94-99","C-22","","","","","V","V","V","","V","V","","","V","",""
"137","TOYOTA","CRESSIDA/CHASER","MX83/JZX81","89-92","C-23","","","","","V","V","","","V","V","","","","",""
"138","TOYOTA","Corolla/Altis","ZRE142/AZE141","08+","C-24","","","","","V","V","V","","V","V","","V","","V",""
"139","TOYOTA","MR2","AW11","86~89","C-25","","","","","V","V","","","V","V","","","V","",""
"140","TOYOTA","CELICA (SUPERSTRUT)","ST205","94-99","C-26","","","","","V","V","","","V","V","","","","","V"
"141","TOYOTA","FORTUNER","","","C-27","","V","","","","","","","","","","","","",""
"142","TOYOTA","VIGO AWD","","","C-28","","V","","","","","","","","","","","","",""
"143","TOYOTA","PREVIA/ALPHARD","ANH20W","06+","C-29","","","","","","","V","","","","","","","",""
"144","TOYOTA","CALDINA","","02~07","C-30","","","","","V","V","V","","V","","","","","",""
"145","TOYOTA","VIGO (2WD)","KUN16R","","C-31","","","","V","","","","","","","","","","",""
"146","TOYOTA","CELICA(SUPERSTRUT)","ST202","94-99","C-33","","","","","V","V","","","V","V","","","","",""
"147","TOYOTA","PRIUS","NHW20","03-08","C-34","","","","","","","V","","","","","","","",""
"148","TOYOTA","CELICA-FWD","ST183","90-93","C-35","","","","","V","V","V","","V","V","","","V","",""
"149","TOYOTA","COROLLA","ZRE152","08+","C-36","","","","","","V","V","V","V","","","","","",""
"150","TOYOTA","AE82","E80","83-87","C-37","","","V","","","V","","","","","","","","",""
"151","TOYOTA","COROLLA SUPERSTRUT","AE111","93-97","C-38","","","","","","","","","V","","","","","",""
"152","TOYOTA","bB","NCP30","00-05","C-39","","","","","","","V","","V","","","","","",""
"153","TOYOTA","bB","QNC20","05+","C-40","","","","","","","V","","","","","","","",""
"154","TOYOTA","CRESSIDA","MX73","85-88","C-41","","","","","","V","","","V","","","","","",""
"155","TOYOTA","PRIUS","ZVW30","09+","C-42","","","","","","","V","","","","","","","",""
"156","TOYOTA","WISH","ZGE20W","09+","C-43","","","","","","","V","","","","","","","",""
"157","TOYOTA","NOAH/VOXY","AZR60G","01+","C-44","","","","","","","V","","","","","","","",""
"158","TOYOTA","CALDINA","ST215","97~02","C-45","V","","","","V","V","","","V","V","","","V","",""
"159","TOYOTA","CROWN","JZS177","00-04","C-46","V","","","","V","V","","V","V","V","","","","",""
"160","TOYOTA","WISH-Z","","04-","C-48","","","","","","V","V","","","","","","","",""
"161","TOYOTA","WISH Z","ZGE22W","09+","C-50","","","","","","V","V","","","","","","","",""
"162","TOYOTA","WISH","ZGE20G","09+","C-51","","","","","","","V","","","","","","","",""
"163","TOYOTA","iQ","KGJ10/NGJ10","08+","C-52","","","","","","V","","","","","","","","",""
"164","TOYOTA","NOAH/VOXY","ZRR70G","07+","C-53","","","","","","","V","","","","","","","",""
"165","TOYOTA","RAV4","GSA33W/ACA38W","06+","C-54","","","","","","","V","","","","","","","",""
"166","TOYOTA","HARRIER","ACU30W","03-06","C-55","","","","","","","V","","","","","","","",""
"167","TOYOTA","BLADE","GRE156H","07+","C-56","","","","","","","V","","","","","","","",""
"168","TOYOTA","CELICA (SUPERSTRUT)","ZZT231","00+","C-58","","","","","V","V","V","","V","V","","","","",""
"169","TOYOTA","CORONA","T190","92","C-59","V","","","","","","","","","","","","","",""
"170","TOYOTA","SAI","AZK10","09+","C-60","","","","","","","V","","","","","","","",""
"171","TOYOTA","HARRIER AWD","ACU35W","03-","C-62","","","","","","","V","","","","","","","",""
"172","TOYOTA","FIELDER AWD (Corolla Wagon)","ZZE124","01-06","C-63","","","","","","","V","","","","","","","",""
"173","TOYOTA","CALDINA 2WD","ZZT241","03-","C-64","","","","","","","V","","","","","","","",""
"174","TOYOTA","CROWN","GRS180/182/200","03-08","C-65","V","","","","V","V","","V","V","V","","","","",""
"175","TOYOTA","FIELDER 2WD (Corolla Wagon)","ZZE122","03-08","C-66","","","","","V","V","V","","","","","","","",""
"176","TOYOTA","VITZ (AWD)","NCP15","01-05","C-67","","","","","","","V","","","","","","","",""
"177","TOYOTA","SOLARA","MCV20/21L","99-04","C-68","","","","","V","V","V","","V","V","","","","",""
